Regularisierer	Zielgroesse	Top1	Trainingszeit	
0.049241	68581544.000000	84.840000	25.524642	
0.048239	68581544.000000	82.930000	26.165440	
0.047818	68581544.000000	85.620000	25.476832	
0.046743	68581544.000000	82.470000	25.276264	
0.046200	68581544.000000	81.380000	24.955291	
0.045871	68581544.000000	80.190000	25.990259	
0.045351	68581544.000000	80.200000	25.647806	
0.044939	68581544.000000	80.240000	26.071023	
0.044911	68581544.000000	82.740000	25.035137	
0.044690	68581544.000000	81.850000	25.456002	
0.044586	68581544.000000	76.880000	25.037082	
0.044510	68581544.000000	81.820000	25.685044	
0.044395	68581544.000000	79.960000	25.543924	
0.044454	68581544.000000	70.680000	25.728279	
0.044423	68581544.000000	82.090000	24.980451	
0.044475	68581544.000000	76.820000	25.951549	
0.044430	68581544.000000	79.630000	26.748800	
0.044508	68581544.000000	79.480000	26.253502	
0.044361	68581544.000000	69.820000	25.307306	
0.044405	68581544.000000	82.440000	25.807361	
0.044302	68581544.000000	75.190000	25.958178	
0.044582	68581544.000000	72.290000	26.047868	
0.044232	68581544.000000	80.920000	25.587127	
0.044176	68581544.000000	81.640000	26.189484	
0.044035	68581544.000000	82.060000	25.563791	
nan	69353384.000000	77.420000	21.015469	
nan	69353384.000000	76.400000	20.805397	
nan	69353384.000000	76.910000	20.707824	
nan	69353384.000000	84.590000	20.908479	
nan	69353384.000000	78.510000	20.987025	
nan	69353384.000000	83.170000	21.083552	
nan	69353384.000000	79.110000	20.686109	
nan	69353384.000000	83.800000	20.904703	
nan	69353384.000000	80.090000	20.914358	
nan	69353384.000000	85.190000	21.344804	
nan	69353384.000000	84.450000	20.509071	
nan	69353384.000000	84.530000	20.760103	
nan	69353384.000000	77.980000	20.855737	
nan	69353384.000000	84.810000	20.494721	
nan	69353384.000000	83.530000	20.555943	
nan	69353384.000000	79.530000	20.989099	
nan	69353384.000000	81.820000	20.981647	
nan	69353384.000000	86.400000	21.166430	
nan	69353384.000000	81.880000	21.198109	
nan	69353384.000000	81.890000	20.206698	
nan	69353384.000000	79.620000	20.449043	
nan	69353384.000000	70.260000	20.759155	
nan	69353384.000000	83.970000	21.014084	
nan	69353384.000000	84.520000	20.799395	
nan	69353384.000000	85.060000	21.303011	
nan	69353384.000000	83.230000	20.858351	
nan	69353384.000000	84.860000	21.024717	
nan	69353384.000000	85.170000	21.259652	
nan	69353384.000000	83.310000	21.139964	
nan	69353384.000000	81.130000	21.075556	
