Regularisierer	Zielgroesse	Top1	Trainingszeit	
0.000000	68862592.000000	82.930000	23.389781	
0.000000	68862592.000000	82.020000	23.099093	
0.000000	68862592.000000	83.630000	24.165442	
0.000000	68862592.000000	77.370000	23.483802	
0.000000	68862592.000000	77.820000	23.051575	
0.000000	68862592.000000	79.880000	23.572047	
0.000000	68862592.000000	82.910000	22.665539	
0.000000	68862592.000000	77.790000	22.926595	
0.000000	68862592.000000	84.520000	23.459920	
0.000000	68862592.000000	81.650000	23.825356	
0.000000	68862592.000000	83.170000	25.780268	
0.000000	68862592.000000	84.110000	25.440594	
0.000000	68862592.000000	84.150000	25.520174	
0.000000	68862592.000000	84.180000	25.374332	
0.000000	68862592.000000	84.290000	23.394178	
0.000000	68862592.000000	76.330000	22.932479	
0.000000	68862592.000000	71.040000	25.931314	
0.000000	68862592.000000	84.900000	25.311894	
0.000000	68862592.000000	78.860000	25.578794	
0.000000	68862592.000000	86.330000	25.163328	
0.000000	68862592.000000	83.500000	23.150267	
0.000000	68862592.000000	76.970000	22.867737	
0.000000	68862592.000000	84.290000	23.337497	
0.000000	68862592.000000	83.870000	23.352425	
0.000000	68862592.000000	83.040000	23.364777	
0.000000	68862592.000000	83.770000	23.124192	
0.000000	68862592.000000	84.420000	22.961729	
0.000000	68862592.000000	84.430000	23.052865	
0.000000	68862592.000000	85.150000	23.231416	
0.000000	68862592.000000	83.870000	22.649851	
0.000000	68862592.000000	79.720000	23.639400	
0.000000	68862592.000000	79.660000	22.572213	
0.000000	68862592.000000	75.180000	23.872345	
0.000000	68862592.000000	80.120000	22.337140	
0.000000	68862592.000000	83.340000	22.707359	
0.000000	68862592.000000	76.670000	23.494054	
0.000000	68862592.000000	84.110000	23.046613	
0.000000	68862592.000000	84.290000	23.982131	
0.000000	68862592.000000	85.070000	24.120306	
0.000000	68862592.000000	84.760000	23.960498	
0.000000	68862592.000000	82.520000	23.532646	
0.000000	68862592.000000	81.510000	23.462520	
0.000000	68862592.000000	85.260000	24.163470	
0.000000	68862592.000000	84.720000	23.325336	
0.000000	68862592.000000	82.320000	22.582161	
0.000000	68862592.000000	80.820000	23.349900	
0.000000	68862592.000000	84.580000	23.095407	
0.000000	68862592.000000	81.470000	22.830072	
0.000000	68862592.000000	77.460000	23.751760	
0.000000	68862592.000000	83.500000	23.092794	
0.000000	68862592.000000	75.720000	24.898750	
0.000000	68862592.000000	82.930000	25.196683	
0.000000	68862592.000000	80.810000	25.276190	
0.000000	68862592.000000	72.270000	25.222918	
0.000000	68862592.000000	79.360000	22.773176	
0.000000	68862592.000000	83.480000	22.508924	
0.000000	68862592.000000	78.690000	23.238554	
0.000000	68862592.000000	85.460000	23.483806	
0.000000	68862592.000000	80.940000	25.608697	
0.000000	68862592.000000	85.770000	24.922246	
0.000000	68862592.000000	84.710000	25.747176	
0.000000	68862592.000000	84.620000	25.079598	
0.000000	68862592.000000	82.610000	23.788919	
0.000000	68862592.000000	81.380000	24.092557	
0.000000	68862592.000000	80.090000	22.930198	
0.000000	68862592.000000	86.190000	24.722679	
0.000000	68862592.000000	81.400000	25.272638	
0.000000	68862592.000000	84.100000	25.539213	
0.000000	68862592.000000	82.980000	25.188195	
0.000000	68862592.000000	80.660000	22.936790	
0.000000	68862592.000000	84.130000	23.416134	
0.000000	68862592.000000	81.380000	23.216411	
0.000000	68862592.000000	85.590000	23.142559	
0.000000	68862592.000000	76.510000	23.808204	
0.000000	68862592.000000	84.250000	23.393249	
0.000000	68862592.000000	82.350000	23.880110	
0.000000	68862592.000000	83.780000	23.668803	
0.000000	68862592.000000	76.590000	23.264220	
0.000000	68862592.000000	81.740000	23.852384	
0.000000	68862592.000000	81.970000	23.096711	
0.000000	68862592.000000	83.440000	22.831949	
0.000000	68862592.000000	82.310000	22.840423	
0.000000	68862592.000000	82.640000	26.216385	
0.000000	68862592.000000	83.790000	25.576153	
0.000000	68862592.000000	74.260000	26.068312	
0.000000	68862592.000000	81.400000	24.890099	
0.000000	68862592.000000	84.670000	23.641253	
0.000000	68862592.000000	86.610000	23.138230	
0.000000	68862592.000000	79.990000	23.587106	
0.000000	68862592.000000	80.730000	23.405727	
0.000000	68862592.000000	85.280000	23.033406	
0.000000	68862592.000000	86.040000	23.155742	
0.000000	68862592.000000	79.210000	23.381511	
0.000000	68862592.000000	83.360000	23.716645	
nan	68862592.000000	84.170000	18.010168	
nan	68862592.000000	84.330000	18.168980	
nan	68862592.000000	83.180000	18.587217	
nan	68862592.000000	82.450000	17.944356	
nan	68862592.000000	84.960000	18.119402	
nan	68862592.000000	81.440000	18.613846	
nan	68862592.000000	84.460000	18.590720	
nan	68862592.000000	82.540000	18.020189	
nan	68862592.000000	83.030000	17.899112	
nan	68862592.000000	85.290000	18.190977	
nan	68862592.000000	80.340000	18.673867	
nan	68862592.000000	85.010000	17.689548	
nan	68862592.000000	82.110000	18.422333	
nan	68862592.000000	84.110000	18.799746	
nan	68862592.000000	76.610000	18.059085	
nan	68862592.000000	83.040000	18.092623	
nan	68862592.000000	85.910000	18.286189	
nan	68862592.000000	83.680000	18.400543	
nan	68862592.000000	74.680000	18.253710	
nan	68862592.000000	83.430000	17.313843	
nan	68862592.000000	79.720000	18.196167	
nan	68862592.000000	86.240000	18.886194	
nan	68862592.000000	85.590000	18.386675	
nan	68862592.000000	84.300000	17.666615	
nan	68862592.000000	79.710000	18.089384	
nan	68862592.000000	84.680000	18.233774	
nan	68862592.000000	83.820000	18.207472	
nan	68862592.000000	82.430000	18.474208	
nan	68862592.000000	81.840000	17.967731	
nan	68862592.000000	80.260000	17.995099	
