LearningRate	TrainLoss	ValidLoss	AvgAcc. 	TrainAcc.	ValidAcc. 	TrainEpochTime(s)	TestEpochTime(s)	
0.010000	0.046714	0.334785	92.167803	98.482000	91.550000	42.406982	1.874639	
0.010000	0.047327	0.319197	91.996394	98.414000	92.000000	42.331690	1.917168	
0.010000	0.045228	0.325605	92.119504	98.506000	91.930000	42.422844	1.884450	
0.010000	0.045500	0.313935	92.095713	98.506000	92.060000	42.376426	1.911443	
0.010000	0.046461	0.334926	92.119430	98.414000	91.510000	42.372031	1.899624	
0.010000	0.047449	0.330192	92.041080	98.410000	91.660000	42.363234	1.894146	
0.010000	0.046767	0.331519	92.003484	98.402000	91.800000	42.226493	1.921049	
0.010000	0.050935	0.325633	92.046735	98.308000	91.560000	42.494633	1.879610	
0.010000	0.050513	0.338870	91.974855	98.288000	91.320000	42.320037	1.935310	
0.010000	0.046802	0.312925	91.968747	98.444000	91.880000	42.430209	1.956556	
0.010000	0.052713	0.315216	91.905197	98.220000	92.100000	42.445569	1.917870	
0.010000	0.052455	0.318476	91.911982	98.194000	91.630000	42.466615	1.916766	
0.010000	0.050245	0.335922	91.860541	98.296000	91.600000	42.433751	1.886212	
0.010000	0.044444	0.316682	91.901556	98.564000	92.150000	42.412030	1.899221	
0.010000	0.044881	0.357993	91.927704	98.492000	91.160000	42.454029	1.886796	
0.010000	0.049483	0.393295	91.834806	98.290000	90.360000	42.720052	1.810975	
0.001000	0.033186	0.278811	91.704963	98.972000	92.810000	42.631464	1.770357	
0.001000	0.021743	0.274567	91.767582	99.430000	93.160000	42.737141	1.801387	
0.001000	0.018769	0.279753	91.828503	99.516000	92.980000	42.819824	1.730522	
0.001000	0.017154	0.278777	91.951944	99.556000	93.090000	42.843761	1.792129	
0.001000	0.017245	0.282210	92.083192	99.572000	93.110000	43.060646	1.736090	
0.001000	0.013638	0.285047	92.084385	99.696000	93.120000	42.948636	1.754312	
0.001000	0.014219	0.284586	92.143970	99.656000	93.120000	43.037688	1.801494	
0.001000	0.013580	0.283780	92.254645	99.690000	93.190000	42.935643	1.720431	
0.001000	0.012342	0.288508	92.222471	99.744000	93.180000	42.881080	1.683579	
0.001000	0.012753	0.287591	92.252444	99.700000	93.070000	42.844377	1.673117	
0.001000	0.012199	0.285560	92.445414	99.722000	93.160000	42.880044	1.786872	
0.001000	0.011770	0.285781	92.440920	99.770000	93.330000	42.943437	1.688423	
0.001000	0.010796	0.289583	92.506954	99.782000	93.180000	42.857183	1.730574	
0.001000	0.011345	0.292543	92.476650	99.734000	93.170000	43.039809	1.776531	
0.001000	0.010293	0.292824	92.586435	99.796000	93.150000	42.971885	1.768857	
0.001000	0.009993	0.291736	92.612674	99.810000	93.230000	42.831552	1.744231	
0.001000	0.009909	0.287545	92.671295	99.818000	93.290000	42.812797	1.761499	
0.001000	0.009480	0.287812	92.631702	99.826000	93.120000	42.764311	1.763849	
0.001000	0.009628	0.291350	92.684890	99.820000	93.170000	42.632128	1.656159	
0.001000	0.009615	0.291829	92.736426	99.794000	93.200000	42.808425	1.724230	
0.001000	0.009604	0.291858	92.731639	99.802000	93.160000	42.628465	1.778291	
0.001000	0.009219	0.290261	92.724580	99.816000	93.300000	42.681890	1.742711	
0.001000	0.009398	0.290916	92.842659	99.818000	93.160000	42.637323	1.766877	
0.001000	0.008676	0.294173	92.894936	99.850000	93.290000	42.682806	1.789770	
0.001000	0.008605	0.292186	92.852480	99.842000	93.310000	42.576088	1.808300	
0.001000	0.009135	0.294398	92.877661	99.818000	93.140000	42.647620	1.888884	
0.001000	0.008464	0.291543	92.974095	99.850000	93.250000	42.515730	1.735316	
0.001000	0.008651	0.295685	92.848779	99.828000	93.120000	22.867047	1.310306	
0.001000	0.007867	0.295611	92.750628	99.868000	93.230000	23.327258	1.340334	
0.001000	0.008409	0.294579	93.135731	99.840000	93.250000	23.574146	1.360662	
0.001000	0.008139	0.293552	93.193700	99.842000	93.140000	23.329237	1.344490	
