LearningRate	TrainLoss	ValidLoss	AvgAcc. 	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	0.276911	0.508584	81.965364	90.558000	83.990000	20.818572	1.175524	
0.100000	0.281596	0.652515	82.165375	90.234000	80.130000	20.866201	1.202988	
0.100000	0.285986	0.440490	82.159829	90.126000	85.620000	20.766203	1.252267	
0.100000	0.283981	0.445162	81.878546	90.208000	85.680000	20.725754	1.240662	
0.100000	0.281540	0.434659	82.638440	90.382000	85.550000	20.871832	1.207972	
0.100000	0.273812	0.596591	82.804599	90.630000	81.570000	20.864848	1.237744	
0.100000	0.282773	0.668860	82.645438	90.226000	80.060000	20.804299	1.210880	
0.100000	0.279500	0.496351	82.712826	90.330000	83.660000	20.691196	1.219887	
0.100000	0.279037	0.500921	81.292178	90.516000	83.630000	20.886494	1.208562	
0.100000	0.279191	0.627858	81.722009	90.408000	80.760000	20.930282	1.240248	
0.100000	0.281347	0.465154	82.577910	90.346000	84.400000	20.700984	1.160846	
0.100000	0.279204	0.417368	82.026144	90.412000	85.880000	20.672486	1.218327	
0.100000	0.280669	0.425052	83.114682	90.448000	85.870000	20.711918	1.174440	
0.100000	0.276305	0.508716	83.476038	90.742000	83.920000	20.760537	1.167754	
0.100000	0.281220	0.682025	83.218449	90.314000	80.680000	20.699444	1.198022	
0.100000	0.276264	0.471621	82.911562	90.494000	85.140000	20.753375	1.226235	
0.100000	0.274077	0.584285	83.000399	90.542000	82.280000	20.677815	1.127615	
0.100000	0.286551	0.578514	83.141851	90.108000	81.920000	20.768327	1.211776	
0.100000	0.276517	0.528805	82.753661	90.524000	83.580000	20.637457	1.204349	
0.100000	0.283470	0.741222	83.133682	90.296000	78.100000	20.665129	1.195436	
0.100000	0.279995	0.777278	81.153698	90.382000	75.330000	20.712133	1.179172	
0.100000	0.279347	0.535110	82.600897	90.494000	83.400000	20.731939	1.244597	
0.100000	0.278070	0.546666	82.565715	90.406000	82.450000	20.599570	1.190726	
0.100000	0.282145	0.465950	82.215639	90.214000	85.820000	20.767809	1.217672	
0.100000	0.277577	0.509163	82.332529	90.556000	83.930000	20.751103	1.162680	
0.100000	0.276291	0.439490	82.724715	90.618000	85.790000	20.817500	1.278712	
0.100000	0.280876	0.588409	82.501801	90.258000	81.980000	20.694309	1.156201	
0.100000	0.276577	0.485759	82.478256	90.444000	84.410000	20.891495	1.270659	
0.100000	0.273518	0.391978	82.900681	90.690000	86.920000	20.775947	1.128858	
0.100000	0.275227	0.452070	83.404301	90.696000	85.390000	20.864318	1.195380	
0.100000	0.275248	0.500976	82.974403	90.474000	83.950000	20.796877	1.157444	
0.100000	0.278788	0.556292	83.830988	90.392000	82.580000	20.880438	1.186588	
0.100000	0.276521	0.635387	83.758953	90.348000	80.570000	20.877182	1.215329	
0.100000	0.278974	0.561407	83.534421	90.298000	82.650000	20.879639	1.230431	
0.100000	0.275566	0.456994	82.902006	90.506000	84.870000	20.714724	1.333811	
0.100000	0.273854	0.576443	82.810686	90.478000	82.490000	20.689453	1.149727	
0.100000	0.275851	0.492879	83.310418	90.458000	84.330000	20.739163	1.336958	
0.100000	0.268296	0.591673	83.371861	90.774000	81.830000	20.663508	1.172580	
0.100000	0.279519	0.546462	82.857494	90.378000	82.450000	20.757710	1.274723	
0.100000	0.271687	0.496058	83.357408	90.610000	83.900000	20.667762	1.184837	
0.100000	0.276329	0.534266	83.606365	90.612000	82.780000	20.684717	1.337643	
0.100000	0.276457	0.400957	83.551606	90.542000	86.940000	20.783697	1.224231	
0.100000	0.273406	0.626590	83.488317	90.694000	81.510000	20.832046	1.318252	
0.100000	0.266602	0.532669	82.892304	90.762000	83.260000	20.606786	1.238389	
0.100000	0.275139	0.580442	83.560771	90.532000	81.790000	20.862797	1.314090	
0.100000	0.272057	0.541005	83.033081	90.608000	82.870000	20.616925	1.284491	
0.100000	0.276584	0.476546	82.970518	90.422000	84.240000	21.034663	1.230113	
0.100000	0.269233	0.496106	83.292392	90.732000	84.010000	20.578996	1.186259	
0.100000	0.273040	0.455579	82.546492	90.682000	84.620000	20.686738	1.245387	
0.100000	0.273726	0.522470	82.279831	90.482000	83.880000	20.717787	1.208525	
0.100000	0.266529	0.485002	83.549680	90.698000	83.930000	20.855789	1.288435	
0.100000	0.272512	0.478520	83.436883	90.554000	84.580000	20.623388	1.207713	
0.100000	0.268763	0.676455	83.997805	90.804000	79.080000	20.766801	1.308503	
0.100000	0.276460	0.568301	83.407306	90.560000	81.860000	20.647581	1.205060	
0.100000	0.269105	0.594452	83.576364	90.654000	81.980000	20.809781	1.279546	
