LearningRate	TrainLoss	ValidLoss	AvgAcc.		TrainAcc. 	ValidAcc. 	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	0.373307	0.488564	77.359704	87.078000	83.430000	17.034175	1.029535	
0.100000	0.368472	0.659188	77.673273	87.390000	77.630000	17.439827	1.047587	
0.100000	0.368949	0.574057	77.741316	87.350000	81.360000	17.303429	1.070073	
0.100000	0.373330	0.882863	76.871775	87.218000	74.730000	17.323096	1.095615	
0.100000	0.372605	0.511416	77.110902	87.118000	82.550000	16.707615	1.048259	
0.100000	0.362607	0.901865	77.915734	87.554000	74.330000	17.571765	1.068980	
0.100000	0.365649	0.933627	77.727765	87.508000	72.600000	17.356194	1.031213	
0.100000	0.364359	1.023278	77.451875	87.486000	69.910000	17.607956	1.035449	
0.100000	0.365723	0.670076	77.294903	87.402000	79.130000	16.728884	1.003269	
0.100000	0.361431	0.713199	77.426307	87.574000	78.010000	17.354865	1.049038	
0.100000	0.359957	0.848478	77.622982	87.674000	73.360000	17.360072	1.043626	
0.100000	0.357480	0.924735	77.148456	87.746000	72.990000	17.310175	1.019396	
0.100000	0.354208	0.781514	76.489852	87.716000	74.760000	16.973241	1.072129	
0.100000	0.361819	0.600421	76.545940	87.548000	80.390000	16.571844	1.033525	
0.100000	0.359997	0.604423	76.470126	87.604000	80.740000	17.498039	1.015435	
0.100000	0.353442	0.724972	76.248310	87.844000	77.240000	17.459459	1.020910	
0.100000	0.358819	0.621992	76.972937	87.800000	80.740000	16.970194	1.025268	
0.100000	0.351123	0.710431	76.860351	87.902000	78.440000	17.003644	1.036421	
0.100000	0.353336	0.876609	76.796018	87.948000	74.650000	17.538193	1.034423	
0.100000	0.355552	0.520457	75.453368	87.846000	82.720000	17.659344	1.048836	
0.100000	0.348975	0.458633	77.207335	88.014000	84.250000	17.362435	1.028291	
0.100000	0.351309	0.575403	77.859750	88.014000	82.130000	17.383987	1.043555	
0.100000	0.346067	0.639735	77.840344	88.182000	79.880000	17.241774	1.024720	
0.100000	0.352342	0.659359	78.907248	87.970000	78.720000	17.264863	1.059228	
0.100000	0.345171	0.668160	78.739041	88.082000	78.870000	17.074993	1.013883	
0.100000	0.346459	0.555897	77.713875	88.200000	81.930000	17.451847	1.071684	
0.100000	0.348460	0.811271	78.104424	87.984000	75.490000	17.537843	1.068278	
0.100000	0.344378	0.596410	78.470629	88.072000	80.690000	17.530133	1.014420	
0.100000	0.345925	0.522078	78.632607	88.170000	82.580000	17.536155	1.023073	
0.100000	0.345419	0.620077	79.725735	88.056000	79.720000	16.881164	1.010998	
0.100000	0.344258	0.603317	78.886908	88.182000	80.950000	17.223197	1.040992	
