LearningRate,TrainLoss,ValidLoss,TrainAcc.,ValidAcc.,TrainEpochTime(s),TestEpochTime(s)
0.100000,0.689792,0.816211,86.580000,75.160000,191.951942,1.543018
0.100000,0.684411,0.470572,86.712000,84.120000,199.543505,2.329250
0.100000,0.684827,0.644799,86.702000,78.540000,198.278055,2.021359
0.100000,0.694319,0.855289,86.270000,72.920000,198.290801,2.052947
0.100000,0.688354,0.579590,86.498000,81.610000,198.224698,2.067270
0.100000,0.694734,0.658022,86.376000,78.860000,183.62573,2.019448
0.100000,0.677935,0.787647,86.748000,76.650000,200.775434,2.433103
0.100000,0.688409,0.638421,86.458000,79.400000,198.93633,2.135371
0.010000,0.552539,0.278348,91.200000,90.300000,199.063932,2.113792
0.010000,0.492666,0.268290,93.030000,90.940000,183.689001,2.122271
0.010000,0.473725,0.261511,93.374000,91.250000,199.063119,2.133034
0.010000,0.455761,0.259083,93.772000,91.140000,200.636988,2.485381
0.010000,0.441422,0.264736,94.212000,91.260000,198.901945,2.216068
0.010000,0.425297,0.265680,94.528000,91.340000,183.991235,2.249257
0.010000,0.413086,0.260240,94.782000,91.440000,199.192176,2.181546
0.010000,0.404112,0.261242,94.806000,91.640000,198.963713,2.203071
0.010000,0.392776,0.280714,95.090000,90.980000,200.828163,2.471458
0.010000,0.384633,0.277979,95.222000,91.160000,183.810819,2.228731
0.010000,0.377020,0.269290,95.328000,91.230000,199.035581,2.245556
0.010000,0.370462,0.290192,95.418000,90.560000,199.101623,2.178799
0.010000,0.362950,0.271504,95.556000,91.270000,198.742573,2.205381
0.010000,0.352291,0.283878,95.704000,90.940000,185.416061,2.414088
0.010000,0.351995,0.273292,95.634000,91.460000,199.167881,2.127995
0.010000,0.343321,0.276978,95.864000,91.220000,199.139624,2.142091
0.010000,0.339726,0.314643,95.854000,90.490000,199.141724,2.177535
0.010000,0.334339,0.398180,95.878000,88.230000,200.01003,2.139303
0.010000,0.330092,0.310808,95.992000,90.530000,197.716922,2.434566
0.010000,0.326990,0.301254,95.998000,90.850000,201.369717,1.973258
0.010000,0.327531,0.288074,95.758000,91.050000,201.244511,2.017911
0.010000,0.325824,0.373343,95.770000,89.450000,201.249751,1.951119
0.010000,0.322660,0.326660,95.866000,90.210000,193.710634,1.496637
0.010000,0.316072,0.341967,95.962000,90.030000,199.607475,2.284751
0.010000,0.319709,0.324257,95.794000,90.650000,198.054409,2.055544
0.010000,0.318752,0.310671,95.796000,90.740000,198.252856,2.059128
0.010000,0.317125,0.342042,95.786000,89.690000,198.050968,2.005493
0.010000,0.317770,0.331960,95.668000,89.900000,185.411013,2.044839
0.010000,0.310931,0.371265,95.864000,89.670000,200.673186,2.407526
0.010000,0.311934,0.327525,95.814000,90.310000,198.904444,2.149462
0.010000,0.313489,0.332202,95.764000,89.920000,199.672766,2.150347
0.010000,0.313317,0.352468,95.624000,89.430000,184.486025,2.182463
0.010000,0.314980,0.310313,95.570000,90.410000,200.064538,2.183206
