LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	Lasso/Full_loss	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	0.707422	0.779174	85.166000	74.890000	0.392835	45.866007	0.963609	
0.100000	0.708756	0.706996	85.256000	78.620000	0.394709	46.376533	0.918960	
0.100000	0.706458	0.991964	85.300000	71.370000	0.395534	46.252231	0.828397	
0.100000	0.699019	0.939843	85.432000	75.420000	0.399375	45.645806	0.807704	
0.100000	0.697481	0.930888	85.516000	73.920000	0.400298	31.375352	0.770207	
0.100000	0.686808	0.641286	85.964000	78.260000	0.404666	45.931301	0.890505	
0.100000	0.694863	0.651709	85.656000	79.030000	0.400718	45.692749	0.811827	
0.100000	0.692852	1.214992	85.708000	65.960000	0.401320	45.596092	0.879177	
0.100000	0.691973	0.654053	85.614000	79.650000	0.401646	36.498044	0.844825	
0.100000	0.690712	0.951416	85.850000	71.860000	0.401877	34.979285	0.814844	
0.100000	0.678587	0.605205	86.110000	79.670000	0.407097	45.646402	0.916496	
0.100000	0.685569	0.771137	85.932000	74.590000	0.403069	45.477506	0.836814	
0.100000	0.684913	0.857613	85.846000	73.980000	0.403494	44.953534	0.913091	
0.100000	0.684247	0.645115	86.088000	79.280000	0.403787	33.287795	0.827606	
0.100000	0.676746	0.597900	86.290000	80.210000	0.407356	34.278798	0.849164	
0.100000	0.667026	0.647095	86.482000	78.640000	0.410845	45.416829	0.884572	
0.100000	0.677161	0.778689	86.244000	75.340000	0.405168	45.185479	0.834987	
0.100000	0.682479	0.619540	86.102000	79.670000	0.403180	43.991086	0.770342	
0.100000	0.679350	0.837837	85.940000	73.800000	0.404807	33.351608	0.761742	
0.100000	0.672130	0.494704	86.284000	83.530000	0.408509	37.310220	0.825000	
0.100000	0.658411	0.725860	86.866000	77.970000	0.413818	45.627537	0.877393	
0.100000	0.668849	0.747138	86.364000	76.430000	0.407681	44.856766	0.851975	
0.100000	0.664853	0.586679	86.442000	81.080000	0.408511	40.031610	0.793743	
0.100000	0.664689	0.697420	86.246000	78.010000	0.409914	32.718371	0.784332	
0.100000	0.664894	0.970523	86.732000	70.690000	0.410092	41.441669	0.921305	
0.100000	0.654011	0.744316	86.812000	76.400000	0.413576	45.447960	0.943661	
0.100000	0.661612	0.708285	86.442000	77.530000	0.411078	45.000321	0.821255	
0.100000	0.659377	0.799574	86.798000	75.270000	0.412628	36.052311	0.785082	
0.100000	0.655259	0.704771	86.780000	77.670000	0.413267	32.234287	0.884211	
